1024 32768
913 230 176
126 792 694
827 116 6
49 745 666
161 28 765
156 174 213
580 600 545
672 312 765
419 427 1017
977 344 293
177 170 790
154 353 944
384 887 716
827 606 190
114 927 852
601 443 655
766 310 428
322 831 866
438 1000 831
65 21 391
773 782 683
548 966 240
265 187 496
202 331 965
412 290 467
733 230 772
656 383 715
580 794 936
752 538 263
816 647 6
893 887 180
936 638 377
553 408 998
260 327 309
969 375 272
499 535 1019
385 12 358
398 650 697
203 31 109
327 791 617
359 686 593
409 150 400
769 9 413
1017 979 39
187 494 251
415 31 837
103 730 754
297 810 51
603 483 675
231 438 272
87 514 921
266 120 467
410 144 265
372 754 544
531 800 813
90 428 429
681 419 888
911 477 957
290 891 382
330 552 236
972 490 581
254 729 560
627 158 186
94 299 473
815 844 904
843 494 783
373 323 394
871 763 822
651 772 349
948 54 168
147 135 367
602 787 192
677 539 290
304 172 379
339 1021 842
982 535 1017
641 616 771
812 998 1013
69 485 525
36 614 71
735 801 934
701 527 398
874 320 29
264 65 447
164 281 302
855 609 178
576 448 875
835 806 117
67 374 363
248 100 784
529 180 611
450 173 338
223 510 135
510 628 134
1001 112 487
757 245 3
873 442 589
426 759 617
407 1008 383
681 643 332
44 672 590
793 351 47
11 754 129
503 532 136
1021 416 122
64 799 833
180 798 440
625 1001 199
245 229 340
311 973 544
925 299 706
61 243 127
676 925 271
230 809 889
553 826 150
932 421 70
83 173 58
789 806 599
38 412 68
331 144 605
676 33 40
909 497 493
763 105 1015
1022 216 152
489 271 113
115 361 600
353 934 354
360 275 125
827 433 897
55 494 731
970 795 453
241 156 284
364 889 22
899 149 790
1000 696 650
672 142 738
801 306 214
470 452 681
14 343 499
507 383 109
934 588 817
246 198 971
608 631 649
333 628 483
478 834 13
950 195 663
735 679 916
882 506 320
109 298 378
858 24 118
652 240 686
935 235 939
584 302 80
291 847 446
183 686 997
628 115 785
22 592 170
589 615 386
745 929 680
632 505 884
539 491 716
357 449 828
589 896 197
592 17 173
58 454 68
505 292 412
482 601 753
391 648 973
275 469 345
733 171 41
560 662 738
639 953 230
386 975 396
257 408 67
994 499 39
315 855 334
732 476 581
279 486 1012
336 757 365
219 930 176
35 348 518
516 643 986
576 755 140
11 364 891
483 658 707
200 836 515
525 924 520
909 466 953
548 521 1010
402 109 888
807 249 141
251 366 390
735 614 11
435 402 686
938 496 143
945 214 66
235 47 247
419 23 746
999 425 413
747 477 753
830 687 680
482 462 225
469 379 656
83 536 235
170 146 713
668 174 284
873 426 742
962 263 643
638 287 392
183 821 13
804 496 471
336 567 639
172 860 633
159 357 167
496 1000 42
35 386 553
1007 996 12
345 791 866
132 911 460
1014 721 340
425 763 666
698 93 738
592 265 725
663 345 219
286 911 658
33 658 572
432 116 755
573 328 402
662 599 411
855 737 913
280 906 752
938 197 84
476 391 968
928 737 642
636 468 625
687 729 152
530 230 655
505 456 392
1001 144 697
643 82 23
25 313 679
780 296 622
435 702 662
180 1021 31
314 334 488
656 107 764
110 194 75
94 512 308
725 664 614
120 620 645
704 975 915
644 279 651
694 689 93
342 707 192
367 449 1001
255 554 194
102 58 649
501 922 765
727 849 603
978 304 249
495 946 294
922 26 467
55 208 442
481 499 922
899 86 249
429 6 10
417 646 423
782 327 776
714 142 721
237 863 111
702 85 216
319 798 392
658 442 224
786 545 206
481 718 862
546 448 4
281 895 1023
1002 667 700
363 417 439
687 594 213
24 832 530
546 1006 118
593 834 60
519 927 642
763 183 937
75 374 773
714 333 789
14 770 976
778 124 75
60 681 114
919 442 983
222 1022 79
898 773 582
971 16 893
471 491 965
272 218 1018
774 312 391
916 281 995
33 14 579
341 954 22
539 844 274
547 181 431
424 349 22
411 451 201
962 648 714
705 442 112
526 440 164
527 623 259
883 12 455
376 874 289
878 135 84
695 748 882
643 215 173
820 624 350
270 416 839
966 695 597
809 476 790
188 161 128
981 650 549
359 349 693
900 996 309
433 877 938
922 493 304
359 871 336
474 351 328
54 524 678
476 907 370
776 468 812
1000 935 523
780 704 797
418 716 763
182 855 164
38 507 930
1012 532 423
683 2 586
214 687 778
1015 597 166
851 193 54
293 423 734
94 644 714
794 149 783
839 128 639
537 531 181
238 851 528
801 236 730
978 249 497
136 167 10
20 770 257
338 550 527
229 933 895
699 155 327
153 996 987
500 263 301
69 219 852
372 313 256
351 654 496
183 944 618
630 269 435
997 594 348
273 72 281
146 465 662
455 157 151
432 665 484
919 965 407
53 851 28
1009 128 554
941 637 880
114 385 968
623 170 509
1013 911 122
829 711 864
133 69 14
712 584 358
928 697 167
1020 23 76
