1024 2048
327 591 -268
496 214 -687
522 51 -938
425 290 131
951 671 -178
69 157 -606
337 145 716
454 74 -6
790 891 947
1008 379 966
59 960 497
570 937 198
1015 726 110
508 686 -347
463 11 545
779 905 441
36 370 627
181 730 934
957 138 -1007
293 1005 -81
680 375 657
82 178 -203
525 115 240
364 403 -605
19 441 -447
267 927 -346
788 264 -273
442 626 -117
800 498 -444
961 834 -81
856 572 9
220 300 -813
685 700 877
441 77 -630
717 748 -541
32 89 -855
27 905 -437
456 778 -427
592 554 -727
670 833 640
745 453 453
1 229 299
346 15 562
545 332 -911
519 865 -926
633 18 400
555 220 536
489 66 441
440 246 725
12 598 -56
304 824 -477
435 626 207
422 481 -710
917 442 811
574 183 245
489 831 151
555 120 575
1007 484 411
635 99 -317
987 109 68
757 54 93
990 51 -558
298 553 994
199 787 423
189 1006 451
751 653 -17
475 811 222
413 447 300
847 558 719
519 703 -171
1000 775 896
709 632 95
982 211 -688
181 237 -191
144 1006 421
233 590 596
889 430 535
1022 993 742
311 300 -37
521 546 -7
71 442 -345
213 210 767
879 133 -378
703 82 -809
270 642 820
963 245 467
282 389 340
705 897 -855
51 625 752
880 508 -718
620 973 -1018
100 755 -89
687 650 -22
80 818 -921
129 409 731
204 299 199
730 22 -306
733 381 120
293 85 -722
258 212 -494
218 240 368
572 837 742
860 581 -557
659 27 615
553 202 31
754 692 -658
24 248 392
428 919 74
423 106 262
824 492 -517
653 940 -698
1008 222 940
404 329 -311
621 88 29
412 887 -501
762 785 1005
707 768 -884
349 887 -135
900 878 -57
724 24 -850
399 916 870
927 995 -689
177 464 393
290 935 -245
817 60 -807
319 810 472
860 526 -593
297 725 684
309 32 -831
800 574 -713
104 907 -110
54 90 79
940 485 174
546 991 319
998 731 81
860 553 -741
677 130 -253
846 179 157
2 439 -206
617 261 789
373 1000 -838
251 885 930
132 374 -11
925 958 974
565 395 665
141 668 -259
542 46 -834
55 892 -830
246 645 -918
1011 943 -184
533 476 792
458 360 389
91 836 -115
769 910 -414
425 275 90
781 87 -577
92 764 -101
142 308 845
526 416 769
264 204 759
604 234 -427
121 643 683
110 556 686
369 367 299
520 44 372
246 426 253
725 152 -7
743 0 938
798 231 -605
102 994 292
372 275 831
796 886 896
14 925 332
98 206 -786
767 258 -491
336 399 762
852 583 415
526 103 331
220 857 262
548 341 -106
910 113 369
887 115 -757
980 778 542
382 1004 -226
464 202 -848
57 941 -899
1015 571 -442
863 5 431
787 393 -880
531 587 913
415 148 -300
7 590 212
19 297 -898
425 505 -579
930 182 584
602 301 323
434 119 -608
781 733 908
29 634 523
453 468 -739
517 146 856
735 999 978
704 672 238
1015 880 985
34 915 -200
424 441 117
198 849 -229
88 983 947
531 729 147
170 645 726
361 205 -841
46 414 251
722 790 -2
573 602 626
814 502 538
320 589 -131
60 348 -925
420 954 600
805 497 -862
958 333 821
990 418 -1011
496 836 -249
67 294 -775
123 53 464
942 110 -360
868 490 -178
809 441 -255
38 343 83
860 974 -238
571 272 -317
589 591 985
659 506 661
163 962 915
900 366 770
957 257 -272
845 332 -703
506 556 -708
173 692 -685
965 629 -656
508 520 -344
881 243 -790
37 409 -24
359 332 477
539 830 459
281 23 675
770 737 -168
400 829 28
910 513 278
826 736 431
130 702 656
193 518 628
551 524 -755
403 378 -340
972 287 487
78 130 -872
755 474 334
614 70 734
279 803 882
212 48 571
54 748 222
153 597 546
592 869 770
368 157 856
425 588 873
182 527 -324
318 624 -133
896 880 805
199 250 758
479 305 883
297 976 461
648 795 405
391 221 -724
524 308 -839
583 978 800
462 591 -217
3 575 667
197 505 -607
289 988 802
647 182 507
581 619 153
316 329 -153
447 637 -1014
968 732 127
367 982 154
858 868 385
701 2 -17
160 689 -302
912 379 813
883 782 860
884 132 -470
1 365 -559
785 594 616
405 399 -274
116 98 263
594 224 -1001
320 821 45
79 432 513
539 253 190
859 492 -492
49 681 -263
152 916 219
558 681 -1009
844 389 984
786 146 -902
1010 38 -346
102 635 -938
358 311 165
488 312 -997
296 405 -77
301 27 914
978 424 -486
212 123 -475
163 293 258
927 596 827
675 651 -305
148 514 -448
385 801 -252
365 864 -815
907 291 698
922 877 130
906 467 -952
284 868 782
47 917 -107
673 916 629
401 154 -878
900 189 987
208 569 -281
1023 5 -310
108 452 -480
282 886 152
378 101 -569
962 646 -474
468 714 75
622 646 446
702 504 -974
509 861 -334
547 363 93
783 130 524
619 41 -659
70 483 -523
205 101 -380
630 872 -184
767 34 812
716 359 -950
961 951 89
629 129 147
378 588 -778
798 981 406
176 33 300
164 865 -782
974 686 -143
27 186 -614
677 494 572
269 976 232
711 66 -923
184 368 -461
634 523 441
600 135 -298
173 193 -887
942 678 172
113 294 683
246 977 736
763 676 502
481 339 -936
329 174 -284
588 41 806
773 62 -1005
309 466 436
433 1000 -581
315 157 889
667 514 -503
482 856 194
829 385 655
305 97 -270
474 716 -578
695 491 328
578 53 -473
916 114 134
297 961 534
879 494 -43
577 882 693
487 601 815
519 39 -284
396 737 573
881 658 296
42 380 958
682 632 874
414 950 322
129 384 -283
119 851 -435
397 416 325
389 807 -350
990 584 -723
634 970 -175
803 235 -825
870 199 672
615 367 97
169 392 -639
742 306 -391
813 380 468
198 343 755
71 839 -828
847 981 618
762 250 923
370 1018 726
828 627 974
640 90 1015
811 396 599
249 286 -38
688 363 -676
989 474 315
721 577 -354
881 804 -832
335 809 -533
180 687 -181
111 614 -950
495 234 262
943 92 860
682 605 604
392 730 84
603 611 501
844 557 145
457 199 298
919 704 6
530 245 486
749 221 513
184 995 836
764 542 781
21 27 -539
469 678 -461
1015 228 150
471 400 -730
988 172 193
372 604 -51
396 934 562
561 871 -1008
777 520 -411
89 505 706
737 343 -623
57 352 -702
494 927 572
290 918 -951
764 979 301
574 1005 1023
845 1018 786
45 167 80
780 987 -732
413 5 240
524 410 212
966 694 -521
42 625 -864
763 97 128
266 453 -30
684 457 -804
432 613 513
127 326 -732
126 117 425
928 456 895
24 889 134
116 84 665
983 881 878
164 396 281
666 721 251
246 558 -211
91 186 100
810 587 737
270 157 -773
535 896 -916
13 989 -998
617 898 -859
563 995 -256
603 165 -570
485 428 -831
868 430 -1002
537 840 832
125 141 866
1014 788 -83
386 825 -386
697 588 809
712 271 -928
325 601 -560
276 591 -557
617 797 835
4 647 -48
243 197 637
787 187 872
171 501 889
390 432 -878
336 455 -616
999 325 1002
497 814 957
385 945 -274
6 509 -456
991 309 -710
520 436 -818
479 847 820
464 647 -644
338 476 453
640 287 705
707 350 -486
51 77 -342
947 147 785
891 390 877
179 851 909
30 408 811
798 1010 758
1021 280 -810
326 287 -542
855 486 388
441 398 -842
913 725 993
355 423 -49
299 993 -358
178 782 821
369 35 -656
897 898 343
338 671 546
138 426 -984
772 529 -270
137 532 -827
8 144 595
442 901 -713
31 762 190
455 747 -369
211 730 282
711 450 161
280 905 817
332 811 -988
547 295 -251
45 518 -888
40 839 991
219 893 780
823 873 166
424 170 539
202 1 -760
51 970 145
894 1000 194
426 414 -856
605 309 -159
210 161 -21
474 130 -645
244 160 -981
398 33 367
176 959 912
351 271 -582
642 306 379
119 876 -222
921 886 -360
432 802 -224
623 910 -91
256 183 -379
972 456 -883
339 287 -167
104 663 622
300 580 279
232 787 396
46 29 -653
664 761 62
145 870 43
900 549 -117
423 23 611
152 356 320
637 488 493
695 840 -464
83 690 -264
356 589 154
70 402 390
981 846 -872
919 277 832
826 244 347
647 142 -900
898 423 145
271 47 340
892 15 -211
560 920 400
768 293 -419
860 93 -90
938 306 865
449 571 493
986 27 398
471 93 212
453 872 -622
399 46 448
444 542 -612
712 587 -529
368 501 -318
450 293 -724
870 496 -591
156 904 -68
318 640 286
293 174 998
612 923 786
184 864 727
323 678 -482
707 970 576
732 259 -812
295 910 825
1016 892 -650
916 930 -702
167 135 167
170 783 -620
198 862 -143
338 886 -1002
83 537 -300
139 92 -192
856 138 -239
8 68 119
620 381 -231
246 194 313
457 209 -74
929 981 42
300 435 176
155 946 6
661 676 522
563 356 572
113 535 27
97 580 -293
1012 292 533
850 388 -206
196 218 552
514 559 63
304 942 911
698 477 -74
467 261 992
708 633 802
936 687 657
303 710 -192
540 664 -44
743 973 291
672 86 -897
893 972 -945
166 904 506
202 956 -949
341 388 677
728 174 -321
837 388 -508
64 560 289
732 112 209
775 120 99
818 195 -437
539 395 811
982 794 477
883 204 -441
919 76 760
987 185 -596
967 982 -549
347 515 -860
762 526 -730
719 321 -638
158 640 -904
550 770 604
661 952 690
866 546 -14
635 198 885
46 457 748
853 413 354
574 1016 -818
838 997 -377
321 236 -123
607 271 317
612 127 -531
273 721 -300
451 968 -794
750 367 -341
90 813 -509
56 245 750
397 786 -1022
429 260 -731
768 372 103
178 522 847
127 164 -657
748 817 849
574 884 -505
985 739 140
843 825 317
31 776 -1022
830 631 -785
219 474 -704
693 702 -73
559 839 726
696 506 -906
405 287 -58
313 718 -766
893 224 -396
63 366 -44
732 45 607
623 984 -152
798 751 -108
689 679 -14
288 335 -755
26 510 -152
348 538 -420
914 489 -529
747 179 -1020
983 283 -993
748 799 -308
734 513 916
959 864 -232
52 985 540
148 679 968
296 30 -391
217 542 207
906 474 -897
443 837 371
355 215 218
480 155 296
926 720 609
9 529 63
536 908 -683
460 543 895
283 234 47
907 852 637
174 638 -396
284 533 -376
156 154 758
264 488 335
74 253 -806
930 932 -467
1006 407 724
330 655 902
874 1018 545
635 861 -991
890 1006 -596
72 29 155
888 153 723
518 328 686
165 224 787
695 533 46
271 665 526
157 821 -302
809 952 -779
578 287 -512
562 81 -382
793 280 -794
318 323 302
333 173 430
169 448 -667
753 158 728
223 320 149
118 83 -638
262 350 -571
533 825 832
685 249 -963
1014 547 -957
17 399 -405
443 698 53
550 572 659
774 346 -894
975 251 3
755 168 -403
809 487 -668
775 408 513
676 613 -660
331 122 375
781 553 -583
199 841 507
972 878 972
888 1001 -976
574 555 621
658 413 1004
438 524 482
113 914 -40
672 622 -662
846 523 -531
138 998 726
500 434 -716
500 654 -468
986 580 -436
804 283 723
419 107 529
67 861 538
338 1008 526
972 973 602
848 574 814
477 401 -359
494 426 -463
680 272 893
474 319 309
130 858 -947
552 177 105
225 940 -967
344 180 194
866 661 323
1014 341 -38
466 993 -108
559 756 42
200 89 762
488 755 -153
332 706 -845
619 804 229
639 977 875
231 777 810
758 977 -635
272 458 349
602 863 192
391 57 -4
689 978 110
181 443 -746
615 752 -62
722 26 -697
533 1013 506
733 122 462
440 485 -56
605 682 -1024
637 371 967
29 215 -665
529 470 116
472 544 37
74 472 645
485 961 664
319 776 -410
608 321 849
619 202 -714
272 380 -895
925 290 263
515 320 963
77 921 739
473 858 395
726 30 163
393 122 354
826 825 -58
682 828 243
421 363 1014
9 746 -716
804 509 730
421 259 406
714 234 -791
364 143 688
726 599 -167
247 306 65
29 550 449
104 92 550
537 609 379
319 860 335
937 497 82
113 619 -772
688 6 709
345 902 992
509 446 84
832 86 -308
580 280 -779
646 362 -419
353 640 435
203 316 -468
145 6 -799
448 894 -884
905 698 -909
845 70 -868
904 733 -378
859 830 955
704 738 -742
141 736 -475
95 809 276
317 613 -8
480 872 -159
646 584 -903
80 611 -604
761 656 322
243 476 -717
480 605 -59
755 235 274
72 7 756
376 117 516
262 378 -924
896 200 -441
578 970 -105
341 622 235
383 241 -245
820 677 -456
418 986 13
595 738 -349
30 918 -888
113 296 -1018
101 802 -696
433 358 -528
791 672 617
937 317 280
328 24 812
717 727 -818
462 651 -687
893 231 540
275 168 139
735 702 559
841 384 789
318 773 -889
454 765 -848
954 634 227
862 739 -417
375 784 819
245 375 -361
623 467 377
441 244 -54
24 122 39
352 826 525
217 989 97
656 11 944
114 959 -554
601 425 210
557 515 725
887 148 47
324 851 165
985 573 980
313 170 151
208 808 280
335 2 -882
924 147 -472
689 894 277
105 409 427
633 607 -450
452 103 224
769 257 -825
986 677 -139
186 904 -415
851 233 408
550 155 -869
484 916 -118
201 401 386
375 139 759
523 781 33
720 623 -466
150 31 -899
247 403 -615
213 569 -120
98 763 -763
266 613 -80
295 372 827
1016 868 -236
56 849 959
233 718 -850
520 521 673
170 33 -889
502 294 -332
1011 573 105
217 328 -131
824 350 33
599 464 931
587 300 -402
963 458 -232
213 220 946
988 147 968
498 811 610
805 29 -660
642 847 -738
254 324 484
333 720 -1001
260 419 -143
433 493 1009
458 252 194
49 939 932
138 325 212
96 740 402
267 140 233
1020 0 408
485 245 -984
621 404 859
18 280 -259
273 867 591
577 129 -372
626 623 -159
525 904 571
398 988 -874
148 564 -942
389 376 -876
323 112 -357
927 285 -469
558 186 155
88 842 351
634 651 801
422 32 792
352 223 -215
591 254 897
973 175 975
762 926 -334
357 961 -1000
285 133 741
191 450 197
526 114 408
911 173 -634
157 41 569
714 756 725
584 954 18
651 1005 -964
7 277 -952
810 374 970
648 371 -683
38 895 172
825 611 -654
867 863 -700
303 101 309
890 306 669
248 466 721
298 356 545
357 273 104
416 10 330
266 131 -914
56 1019 383
495 477 789
912 59 -979
14 165 -521
370 38 -500
781 906 -296
30 324 -839
623 712 -925
838 173 852
430 706 374
535 74 -855
515 578 699
778 283 -267
807 957 -105
609 824 -941
524 844 -983
708 984 -1024
722 174 589
667 945 -348
886 512 484
518 966 111
895 123 323
10 317 -54
6 120 42
753 592 96
18 257 544
1011 2 687
1023 680 -967
532 320 -68
656 922 -604
634 425 -944
1016 409 405
613 657 -46
141 88 199
137 277 738
911 908 -882
673 524 -484
578 594 264
638 587 293
108 159 -403
891 419 -817
52 724 44
813 363 -294
978 649 -88
760 376 -254
431 902 937
315 83 -57
740 632 -985
694 700 -787
720 68 498
138 222 -152
809 429 177
618 318 628
298 858 -623
43 929 968
801 650 -872
370 299 492
890 377 617
38 131 -28
551 947 841
55 123 629
608 570 -434
931 455 -247
861 1018 107
294 708 53
645 835 -578
961 763 -889
268 958 689
335 575 16
769 681 -389
309 842 -335
632 121 -265
210 854 485
561 687 -708
536 1023 706
490 589 996
837 940 -6
407 33 -883
237 190 842
510 131 -911
230 69 -124
252 912 -419
309 649 721
749 101 -920
796 429 505
289 425 67
271 31 894
1013 896 -152
496 998 -1020
341 969 -518
972 692 449
964 971 -758
648 254 -890
619 862 -814
156 232 -1001
947 611 400
348 195 -851
341 567 -236
989 781 202
963 421 740
859 856 -34
702 605 525
135 540 -818
463 62 576
377 496 -88
884 926 255
988 386 -717
479 469 399
529 472 -6
68 760 -691
993 985 -3
873 356 -679
242 433 815
817 135 189
24 750 731
782 19 -566
224 349 -30
263 200 426
539 10 567
781 26 966
632 772 620
206 510 447
165 19 482
649 914 21
704 169 -590
88 707 -634
45 945 -1005
242 984 -751
900 472 338
668 222 473
247 641 596
725 853 -983
109 336 549
767 279 -742
680 197 720
450 231 -449
35 558 431
326 918 -44
806 179 591
727 332 423
335 584 412
372 503 1012
823 437 -208
393 6 355
206 526 826
492 658 -723
738 131 -702
459 93 -831
921 61 699
701 312 -483
320 685 -564
594 328 657
349 379 -619
890 645 991
0 178 264
40 460 -564
993 696 473
831 39 214
55 541 148
662 636 421
773 513 940
153 434 -852
436 876 -824
395 749 -79
188 399 658
951 617 421
262 967 -848
1014 758 -183
971 394 441
397 141 -424
635 330 -462
708 308 788
206 534 451
355 694 -114
900 1009 636
856 449 462
806 765 164
624 954 -752
994 500 284
386 956 -355
861 968 242
49 460 875
635 907 832
63 254 -268
727 119 666
717 661 712
90 431 -569
702 436 528
549 771 929
854 749 -863
461 762 91
195 362 1019
561 13 -822
22 487 -913
341 480 -191
922 1005 469
700 827 -781
581 963 291
250 865 509
372 618 -648
92 455 -931
620 556 -342
818 481 -484
496 515 653
784 841 994
816 721 5
769 1005 996
270 880 -772
897 93 -637
700 816 540
390 654 -39
826 779 651
158 60 142
653 59 -2
116 480 836
132 982 -469
861 637 -836
617 710 -47
965 26 -943
523 130 667
328 352 185
444 624 555
59 98 140
92 743 -556
708 538 -503
103 953 -673
654 434 158
110 311 843
624 81 1001
1015 18 -158
741 459 -703
753 33 -1
865 118 767
266 326 806
693 39 1020
350 917 -815
716 696 -581
222 293 -43
212 425 236
843 674 727
616 927 -922
961 223 941
558 741 -357
313 982 485
251 522 -446
370 985 -32
200 484 -84
606 987 294
819 115 139
108 557 418
766 374 497
412 911 -719
1022 393 -136
306 686 792
337 477 365
561 657 -98
412 247 -152
408 1018 986
792 834 453
456 948 -3
353 944 -769
544 27 109
460 461 -174
722 14 643
590 974 255
546 400 691
581 692 552
38 700 602
978 616 -796
386 775 -822
513 418 -352
366 842 -672
757 497 -56
158 48 -892
441 128 416
787 125 539
158 834 -495
623 458 -906
922 812 268
625 162 -745
606 41 217
994 155 597
63 1003 730
436 33 154
807 677 -934
789 287 71
9 717 427
495 673 83
541 359 -298
755 248 -840
995 917 477
668 458 -196
22 408 -334
34 810 584
954 942 119
878 208 577
118 878 980
321 75 813
478 584 -504
333 549 231
720 139 244
961 433 370
75 133 735
377 489 -344
802 51 -114
202 828 697
242 650 275
455 907 -780
514 395 -377
944 477 64
738 380 173
562 20 -225
402 864 801
130 135 -301
129 547 1012
472 471 -404
471 696 236
322 581 -465
996 289 -381
706 325 673
391 12 677
534 425 471
549 650 -698
495 815 720
702 468 -396
615 475 -358
381 628 385
226 366 932
101 576 -926
816 861 -314
331 905 178
763 254 877
65 850 -954
1011 204 309
804 353 535
550 358 256
247 428 -728
398 613 -314
144 344 273
829 904 -858
370 378 699
465 456 111
124 591 335
977 205 199
769 932 -109
499 965 -774
968 410 846
586 364 166
943 923 -11
885 991 346
9 593 -362
250 525 -820
366 847 -785
89 350 150
36 289 113
791 582 -841
0 951 -351
641 398 687
509 904 -380
349 854 782
667 1000 607
231 395 667
510 398 -198
694 776 -196
507 826 -635
746 313 -1010
410 61 779
877 980 573
864 285 -50
863 670 662
81 98 772
763 179 -411
670 1015 60
1018 405 621
950 297 202
24 246 -405
49 255 -523
384 46 -1018
171 931 372
476 987 37
271 323 -915
780 71 582
747 226 -57
358 1022 554
1021 682 -154
542 715 225
823 889 -453
607 127 -628
484 755 237
52 920 295
667 653 759
984 247 -760
791 346 -854
84 236 937
523 541 857
934 1012 -879
87 678 821
806 73 27
307 878 -334
982 712 -42
90 237 143
935 232 622
284 49 -801
263 381 -76
231 219 955
696 804 -146
765 109 -876
825 838 -473
819 897 -784
582 897 -947
66 360 275
517 242 -307
747 132 -66
163 211 550
309 691 -831
120 307 -243
150 80 1007
371 166 147
483 469 -17
861 795 672
652 115 -826
568 726 738
574 194 -280
661 520 331
790 216 85
261 30 -554
402 316 693
937 68 538
991 772 141
580 659 903
25 782 798
196 160 -218
156 877 -103
136 693 -187
404 830 900
74 420 -584
432 293 -898
153 745 -224
224 255 469
384 851 464
518 769 -848
162 873 -928
220 254 -228
398 878 354
762 917 262
181 957 330
505 736 31
709 775 -686
38 661 671
256 139 -91
234 17 0
416 271 -987
461 531 -563
898 193 -473
833 5 -280
502 599 -724
56 214 -439
465 928 -271
285 333 623
847 873 441
848 620 555
908 156 940
811 985 576
566 920 838
37 528 -324
896 875 464
1009 152 190
454 123 660
823 28 228
455 1 -941
553 875 -984
731 764 186
642 476 110
470 902 469
174 989 -862
300 955 -131
911 450 707
577 263 -831
451 574 981
126 728 -91
765 429 -435
379 354 -694
498 779 873
261 740 -621
415 898 351
810 984 -735
811 272 968
142 13 704
567 829 -812
617 647 -7
914 501 -359
187 975 512
828 1001 -830
142 498 -460
279 191 527
850 134 -86
175 754 -3
509 1008 325
629 974 -387
513 890 265
707 584 411
1010 595 -718
587 220 951
680 308 899
804 337 252
595 596 853
410 801 -675
303 49 -566
415 411 211
835 930 -6
1002 586 -770
598 448 351
822 650 957
606 812 923
474 97 366
295 379 738
623 599 -967
940 543 240
959 75 -735
25 523 475
268 38 619
72 501 -292
68 55 -179
846 575 748
698 29 955
241 147 -832
925 726 -357
769 781 53
622 4 -749
624 399 116
618 119 -732
1004 307 80
940 396 150
22 336 -396
20 983 -297
759 761 516
985 807 -238
437 538 512
642 4 -991
820 785 949
260 977 -404
978 968 -468
536 30 -351
635 993 -792
795 389 103
116 758 423
491 245 -678
119 199 -385
514 1023 672
468 960 -318
144 462 26
575 75 -898
133 521 743
127 689 -307
668 995 886
1007 287 -7
960 760 -336
987 265 478
163 690 637
828 812 269
761 15 777
432 667 -229
219 153 378
274 778 -974
457 583 639
131 631 -211
155 380 761
676 91 -936
217 843 -292
122 45 201
311 396 -644
372 580 -306
275 440 -30
930 309 183
525 980 -963
428 173 345
213 472 240
569 850 -65
85 771 985
531 12 923
432 987 -461
825 463 -320
979 666 -164
292 911 -795
747 113 914
378 424 -197
848 657 -192
933 65 -453
415 725 599
659 478 1017
850 11 577
752 409 376
716 165 509
116 403 -466
532 849 201
452 84 23
101 300 -939
549 472 -939
938 533 -107
625 735 -723
193 259 -430
342 44 -332
600 919 649
787 160 221
206 647 527
351 573 -220
977 541 261
927 244 754
349 421 2
667 140 -120
478 280 115
236 500 159
422 502 371
305 379 52
843 859 -574
189 916 -137
668 491 417
701 132 -353
898 112 491
190 409 253
187 608 1001
290 380 632
965 823 458
643 560 -291
265 349 928
420 747 446
1014 652 385
891 160 356
465 127 -205
242 681 170
263 300 366
520 54 -111
367 377 799
859 84 -543
758 156 216
295 633 586
678 10 -1003
171 509 -156
715 704 -624
110 1008 -873
378 745 -133
836 921 -380
790 714 -967
393 598 -1009
981 102 -353
662 410 -550
823 502 -224
580 361 -929
132 919 307
571 443 -919
424 113 -324
786 232 238
180 596 653
975 676 1006
362 487 -538
147 584 705
706 218 -1023
1003 107 -480
349 752 111
726 695 -739
339 610 635
991 294 36
143 593 -141
101 182 -991
821 914 886
300 747 -895
1001 571 -752
298 75 693
716 725 -743
867 900 195
917 1007 -79
696 349 708
147 75 -206
4 387 520
920 24 -15
329 655 928
269 503 -24
501 426 -433
871 192 -814
82 601 -968
188 905 -652
819 113 296
610 124 -743
626 328 721
681 529 818
233 703 602
388 403 179
305 320 -359
810 355 -641
760 981 409
951 726 231
541 196 -539
121 36 -651
224 231 694
607 32 816
155 591 902
854 676 -956
574 296 173
631 36 182
745 237 858
737 843 275
290 107 168
506 85 -362
442 937 -802
167 703 1011
492 460 -196
605 993 -814
837 381 1000
992 882 -518
693 548 -602
241 455 -816
797 74 -80
953 205 45
872 467 315
404 196 61
450 514 349
880 931 -329
211 643 957
918 82 -488
471 663 560
924 829 -176
590 941 -619
785 169 964
767 859 7
787 390 266
1014 929 -946
656 669 -97
19 262 60
142 247 482
34 317 -981
838 499 -341
138 480 1016
307 406 -5
443 252 -261
407 760 897
328 204 -329
388 123 -455
740 70 -401
985 774 -363
815 915 1003
351 963 -770
531 441 -783
